Input data or print help ? Type [data]/help :


Number of equations to solve (problem size): 1000
1000
Leading dimension of array: 1000
1000
Number of trials to run: 500
500
Data alignment value (in Kbytes): 64
64
Current date/time: Wed Nov 21 15:53:16 2018

CPU frequency:    1.522 GHz
Number of CPUs: 1
Number of cores: 4
Number of threads: 4

Parameters are set to:

Number of tests: 1
Number of equations to solve (problem size) : 1000 
Leading dimension of array                  : 1000 
Number of trials to run                     : 500  
Data alignment value (in Kbytes)            : 64   

Maximum memory requested that can be used=8085536, at the size=1000

=================== Timing linear equation system solver ===================

Size   LDA    Align. Time(s)    GFlops   Residual     Residual(norm) Check
1000   1000   64     0.035      19.0048  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0694  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1245  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0369  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0808  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0476  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1525  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5870  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9855  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1119  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.4985  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1157  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1628  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2710  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2112  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0933  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1163  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2860  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9870  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.3038  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6154  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1042  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0993  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0970  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9897  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1573  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0939  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9990  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2095  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2073  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.4909  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1618  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0905  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5757  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0129  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0731  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2412  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1480  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1304  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9838  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.3789  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0726  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0168  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5078  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2095  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0868  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0927  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.3218  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0183  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9762  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1179  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0585  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9666  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5155  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.034      19.4731  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0188  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6586  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0966  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0840  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0677  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0281  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0232  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0017  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1869  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0124  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.8161  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5318  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.8335  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0781  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0222  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0759  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9409  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0813  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0825  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1484  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0645  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9043  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0135  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1348  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7848  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2578  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6550  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0955  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0320  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0726  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.3071  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.034      19.6418  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0922  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2521  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5190  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0960  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.034      19.4256  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1245  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0628  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0602  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2140  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2787  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0807  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.8846  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.4929  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0873  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1436  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7522  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0770  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0059  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1337  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9092  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0786  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2926  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.3720  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0825  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2516  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.037      18.3145  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0206  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0693  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.034      19.4177  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1326  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2195  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0254  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1278  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0531  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2672  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.4043  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2450  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0873  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6679  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0237  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1513  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9708  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0650  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0102  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0520  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.8076  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0054  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.034      19.4126  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7701  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1623  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1333  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0905  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1485  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0368  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0341  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0222  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0856  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0682  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.4257  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0313  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.034      19.3946  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5957  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2984  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2466  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9774  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9639  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0007  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0597  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.4873  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2069  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9387  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.4684  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1119  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1048  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0346  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.034      19.3991  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2538  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1990  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0379  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0638  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9999  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.8543  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2400  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2611  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6154  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0254  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0093  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0146  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9951  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0220  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1114  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.3876  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9742  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9892  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.4241  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0726  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0813  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1091  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1206  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0694  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9909  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0319  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.8814  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0461  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5071  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0580  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0617  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6487  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0215  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1437  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2427  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1009  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0737  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.3228  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.4384  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1465  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0239  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.8692  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.034      19.4839  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0883  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9055  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1788  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2394  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.3307  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.034      19.5099  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1448  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9985  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.4914  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.3698  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0818  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0021  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1043  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0281  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1064  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0737  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1914  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0081  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.4354  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0770  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1540  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5278  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9806  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0276  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9656  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1331  9.419757e-13 3.212379e-02   pass
