Input data or print help ? Type [data]/help :


Number of equations to solve (problem size): 1000
1000
Leading dimension of array: 100
100
Warning: incorrect parameter Leading dimension of array (100),
must be not less than (1000),
set to default value (1000).
Number of trials to run: 500
64
500
Data alignment value (in Kbytes): 64
Current date/time: Wed Nov 21 23:52:37 2018

CPU frequency:    1.522 GHz
Number of CPUs: 1
Number of cores: 4
Number of threads: 4

Parameters are set to:

Number of tests: 1
Number of equations to solve (problem size) : 1000 
Leading dimension of array                  : 1000 
Number of trials to run                     : 500  
Data alignment value (in Kbytes)            : 64   

Maximum memory requested that can be used=8085536, at the size=1000

=================== Timing linear equation system solver ===================

Size   LDA    Align. Time(s)    GFlops   Residual     Residual(norm) Check
1000   1000   64     0.035      18.9343  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6467  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0575  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9343  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6831  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0092  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0156  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0774  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9639  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6908  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7828  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7061  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.8172  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9236  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6700  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0335  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0266  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5323  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1491  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0168  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0439  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9269  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6440  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9794  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0010  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0667  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0249  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6820  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9499  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0293  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.8585  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.8209  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9683  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6144  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0764  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1310  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1513  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0189  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.046      14.4199  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.4705  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7628  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0037  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.038      17.6080  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7992  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7040  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0454  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0612  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7737  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6950  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1393  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7296  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.8151  9.419757e-13 3.212379e-02   pass
